Sample ID,Date,Salinity,Adj Tidal Ht,In/Out?,Time Collected,Tide Time,,24h Rain (in) from WK,7 day rain (W-T) (in),5 day rain (F-T) (in),3 day rain (S-T) (in)
AR1,4/28/2021,,5.6459,out,10:10,HIGH,,0,1.31,1.31,1.31
AR2,4/28/2021,,5.4035,out,10:25,HIGH,,,,,
AR3,4/28/2021,,5.9171,in,8:32,HIGH -1,,,,,
CC1,4/28/2021,,,,,,,,,,
CH1,4/28/2021,,5.4708,out,9:45,HIGH,,,,,
CH2,4/28/2021,,5.41,in,,,,,,,
CH3,4/28/2021,,5.64,out,,,,,,,
CS1,4/28/2021,,5.564,out,10:32,,,,,,
FB1,4/28/2021,,5.5449,out,,,,,,,
FC1,4/28/2021,,5.4075,in,,,,,,,
HC1,4/28/2021,,5.6959,in,,,,,,,
HC2,4/28/2021,,5.6959,in,,,,,,,
JIC1,4/28/2021,,5.7018,out,,,,,,,
JIC2,4/28/2021,,5.763,in,,,,,,,
SC1,4/28/2021,,4.9896,in,,,,,,,
SC2,4/28/2021,,4.6431,out,,,,,,,
SC3,4/28/2021,,4.6431,out,,,,,,,
SR1,4/28/2021,,5.6459,out,,,,,,,
WC1,4/28/2021,,5.5539,in,,,,,,,
WR1,4/28/2021,,5.7783,in,,,,,,,
AR1,5/5/2021,,1.2285,out,8:46,LOW -1,,0,0.58,0.58,0.58
AR2,5/5/2021,,1.491,out,8:36,LOW -1,,,,,
AR3,5/5/2021,,1.491,out,8:37,LOW -2,,,,,
CC1,5/5/2021,,0.551,out,9:30,LOW -1,,,,,
CH1,5/5/2021,,0.74,out,9:12,LOW -1,,,,,
CH2,5/5/2021,,0.38,out,,,,,,,
CH3,5/5/2021,,0.36,in,,,,,,,
CS1,5/5/2021,,0.34,in,10:18,,,,,,
FB1,5/5/2021,,0.361,out,,,,,,,
FC1,5/5/2021,,1.7,out,,,,,,,
HC1,5/5/2021,,0.323,in,,,,,,,
HC2,5/5/2021,,0.323,in,,,,,,,
JIC1,5/5/2021,,0.987,out,,,,,,,
JIC2,5/5/2021,,0.777,out,,,,,,,
